Name,Cost,Type,Effect
Discovery,{1}{U/B},Sorcery,"Surveil 2, then draw a card. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Disdainful Stroke,{1}{U},Instant,Counter target spell with converted mana cost 4 or greater.
Disenchant,{1}{W},Instant,Destroy target artifact or enchantment.
Disentomb,{B},Sorcery,Return target creature card from your graveyard to your hand.
Disfigure,{B},Instant,Target creature gets -2/-2 until end of turn.
Disinformation Campaign,{1}{U}{B},Enchantment,"When Disinformation Campaign enters the battlefield, you draw a card and each opponent discards a card. Whenever you surveil, return Disinformation Campaign to its owner's hand."
Dismal Backwater,nan,Land,"Dismal Backwater enters the battlefield tapped. When Dismal Backwater enters the battlefield, you gain 1 life. {T}: Add {U} or {B}."
Dispersal,{3}{U}{B},Instant,"Each opponent returns a nonland permanent they control with the highest converted mana cost among permanents they control to its owner's hand, then discards a card."
District Guide,{2}{G},Creature â€” Elf Scout,"When District Guide enters the battlefield, you may search your library for a basic land card or Gate card, reveal it, put it into your hand, then shuffle your library."
Divine Arrow,{1}{W},Instant,Divine Arrow deals 4 damage to target attacking or blocking creature.
Divine Visitation,{3}{W}{W},Enchantment,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead."
Diviner's Lockbox,{4},Artifact,"{1}, {T}: Choose a card name, then reveal the top card of your library. If that card has the chosen name, sacrifice Diviner's Lockbox and draw three cards. Activate this ability only any time you could cast a sorcery."
Dizzying Swoop,{1}{W},Instant â€” Adventure,Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.)
Domri's Ambush,{R}{G},Sorcery,Put a +1/+1 counter on target creature you control. Then that creature deals damage equal to its power to target creature or planeswalker you don't control.
Domri's Nodorog,{3}{R}{G},Creature â€” Beast,"Trample When Domri's Nodorog enters the battlefield, you may search your library and/or graveyard for a card named Domri, City Smasher, reveal it, and put it into your hand. If you search your library this way, shuffle it."
"Domri, Anarch of Bolas",{1}{R}{G},Legendary Planeswalker â€” Domri,Creatures you control get +1/+0. [+1]: Add {R} or {G}. Creature spells you cast this turn can't be countered. [âˆ’2]: Target creature you control fights target creature you don't control.
"Domri, Chaos Bringer",{2}{R}{G},Legendary Planeswalker â€” Domri,"[+1]: Add {R} or {G}. If that mana is spent on a creature spell, it gains riot. (It enters the battlefield with your choice of a +1/+1 counter or haste.) [âˆ’3]: Look at the top four cards of your library. You may reveal up to two creature cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order. [âˆ’8]: You get an emblem with ""At the beginning of each end step, create a 4/4 red and green Beast creature token with trample."""
"Domri, City Smasher",{4}{R}{G},Legendary Planeswalker â€” Domri,"[+2]: Creatures you control get +1/+1 and gain haste until end of turn. [âˆ’3]: Domri, City Smasher deals 3 damage to any target. [âˆ’8]: Put three +1/+1 counters on each creature you control. Those creatures gain trample until end of turn."
Doom Foretold,{2}{W}{B},Enchantment,"At the beginning of each player's upkeep, that player sacrifices a nonland, nontoken permanent. If that player can't, they discard a card, they lose 2 life, you draw a card, you gain 2 life, you create a 2/2 white Knight creature token with vigilance, then you sacrifice Doom Foretold."
Doom Whisperer,{3}{B}{B},Creature â€” Nightmare Demon,"Flying, trample Pay 2 life: Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on the top of your library in any order.)"
Douser of Lights,{4}{B},Creature â€” Horror,nan
Dovin's Acuity,{1}{W}{U},Enchantment,"When Dovin's Acuity enters the battlefield, you gain 2 life and draw a card. Whenever you cast an instant spell during your main phase, you may return Dovin's Acuity to its owner's hand."
Dovin's Automaton,{4},Artifact Creature â€” Homunculus,"As long as you control a Dovin planeswalker, Dovin's Automaton gets +2/+2 and has vigilance. (Attacking doesn't cause it to tap.)"
Dovin's Dismissal,{2}{W}{U},Instant,"Put up to one target tapped creature on top of its owner's library. You may search your library and/or graveyard for a card named Dovin, Architect of Law, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Dovin's Veto,{W}{U},Instant,This spell can't be countered. Counter target noncreature spell.
"Dovin, Architect of Law",{4}{W}{U},Legendary Planeswalker â€” Dovin,[+1]: You gain 2 life and draw a card. [âˆ’1]: Tap target creature. It doesn't untap during its controller's next untap step. [âˆ’9]: Tap all permanents target opponent controls. That player skips their next untap step.
"Dovin, Grand Arbiter",{1}{W}{U},Legendary Planeswalker â€” Dovin,"[+1]: Until end of turn, whenever a creature you control deals combat damage to a player, put a loyalty counter on Dovin, Grand Arbiter. [âˆ’1]: Create a 1/1 colorless Thopter artifact creature token with flying. You gain 1 life. [âˆ’7]: Look at the top ten cards of your library. Put three of them into your hand and the rest on the bottom of your library in a random order."
"Dovin, Hand of Control",{2}{W/U},Legendary Planeswalker â€” Dovin,"Artifact, instant, and sorcery spells your opponents cast cost {1} more to cast. [âˆ’1]: Until your next turn, prevent all damage that would be dealt to and dealt by target permanent an opponent controls."
Dragon Mage,{5}{R}{R},Creature â€” Dragon Wizard,"Flying Whenever Dragon Mage deals combat damage to a player, each player discards their hand, then draws seven cards."
"Drakuseth, Maw of Flames",{4}{R}{R}{R},Legendary Creature â€” Dragon,"Flying Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets."
Drawn from Dreams,{2}{U}{U},Sorcery,Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in a random order.
Dread Presence,{3}{B},Creature â€” Nightmare,"Whenever a Swamp enters the battlefield under your control, choose one â€” â€¢ You draw a card and you lose 1 life. â€¢ Dread Presence deals 2 damage to any target and you gain 2 life."
Dreadhorde Arcanist,{1}{R},Creature â€” Zombie Wizard,"Trample Whenever Dreadhorde Arcanist attacks, you may cast target instant or sorcery card with converted mana cost less than or equal to Dreadhorde Arcanist's power from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead."
Dreadhorde Butcher,{B}{R},Creature â€” Zombie Warrior,"Haste Whenever Dreadhorde Butcher deals combat damage to a player or planeswalker, put a +1/+1 counter on Dreadhorde Butcher. When Dreadhorde Butcher dies, it deals damage equal to its power to any target."
Dreadhorde Invasion,{1}{B},Enchantment,"At the beginning of your upkeep, you lose 1 life and amass 1. (Put a +1/+1 counter on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Whenever a Zombie token you control with power 6 or greater attacks, it gains lifelink until end of turn."
Dreadhorde Twins,{3}{R},Creature â€” Zombie Jackal Warrior,"When Dreadhorde Twins enters the battlefield, amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Zombie tokens you control have trample."
Dreadmalkin,{B},Creature â€” Zombie Cat,"Menace (This creature can't be blocked except by two or more creatures.) {2}{B}, Sacrifice another creature or planeswalker: Put two +1/+1 counters on Dreadmalkin."
Dream Eater,{4}{U}{U},Creature â€” Nightmare Sphinx,"Flash Flying When Dream Eater enters the battlefield, surveil 4. When you do, you may return target nonland permanent an opponent controls to its owner's hand. (To surveil 4, look at the top four cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Drill Bit,{2}{B},Sorcery,Spectacle {B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.) Target player reveals their hand. You choose a nonland card from it. That player discards that card.
Drown in the Loch,{U}{B},Instant,Choose one â€” â€¢ Counter target spell with converted mana cost less than or equal to the number of cards in its controller's graveyard. â€¢ Destroy target creature with converted mana cost less than or equal to the number of cards in its controller's graveyard.
Drowned Secrets,{1}{U},Enchantment,"Whenever you cast a blue spell, target player puts the top two cards of their library into their graveyard."
Dungeon Geists,{2}{U}{U},Creature â€” Spirit,"Flying When Dungeon Geists enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's untap step for as long as you control Dungeon Geists."
Duress,{B},Sorcery,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Duskmantle Operative,{1}{B},Creature â€” Human Rogue,Duskmantle Operative can't be blocked by creatures with power 4 or greater.
Dwarven Mine,nan,Land â€” Mountain,"({T}: Add {R}.) Dwarven Mine enters the battlefield tapped unless you control three or more other Mountains. When Dwarven Mine enters the battlefield untapped, create a 1/1 red Dwarf creature token."
Edgewall Innkeeper,{G},Creature â€” Human Peasant,"Whenever you cast a creature spell that has an Adventure, draw a card. (It doesn't need to have gone on the adventure first.)"
Electrodominance,{X}{R}{R},Instant,Electrodominance deals X damage to any target. You may cast a card with converted mana cost X or less from your hand without paying its mana cost.
Electrostatic Field,{1}{R},Creature â€” Wall,"Defender Whenever you cast an instant or sorcery spell, Electrostatic Field deals 1 damage to each opponent."
Elite Arrester,{W},Creature â€” Human Soldier,"{1}{U}, {T}: Tap target creature."
Elite Guardmage,{2}{W}{U},Creature â€” Human Wizard,"Flying When Elite Guardmage enters the battlefield, you gain 3 life and draw a card."
Elite Headhunter,{B/R}{B/R}{B/R}{B/R},Creature â€” Human Knight,"Menace (This creature can't be blocked except by two or more creatures.) {B/R}{B/R}{B/R}, Sacrifice another creature or an artifact: Elite Headhunter deals 2 damage to target creature or planeswalker."
Elvish Reclaimer,{G},Creature â€” Elf Warrior,"Elvish Reclaimer gets +2/+2 as long as there are three or more land cards in your graveyard. {2}, {T}, Sacrifice a land: Search your library for a land card, put it onto the battlefield tapped, then shuffle your library."
Ember Hauler,{R}{R},Creature â€” Goblin,"{1}, Sacrifice Ember Hauler: It deals 2 damage to any target."
Embercleave,{4}{R}{R},Legendary Artifact â€” Equipment,"Flash This spell costs {1} less to cast for each attacking creature you control. When Embercleave enters the battlefield, attach it to target creature you control. Equipped creature gets +1/+1 and has double strike and trample. Equip {3}"
Embereth Paladin,{3}{R},Creature â€” Human Knight,"Haste Adamant â€” If at least three red mana was spent to cast this spell, Embereth Paladin enters the battlefield with a +1/+1 counter on it."
Embereth Shieldbreaker,{1}{R},Creature â€” Human Knight,nan
Embereth Skyblazer,{3}{R},Creature â€” Human Knight,"As long as it's your turn, Embereth Skyblazer has flying. Whenever Embereth Skyblazer attacks, you may pay {2}{R}. If you do, creatures you control get +X/+0 until end of turn, where X is the number of opponents you have."
Embodiment of Agonies,{1}{B}{B},Creature â€” Demon,"Flying, deathtouch Embodiment of Agonies enters the battlefield with a +1/+1 counter on it for each different mana cost among nonland cards in your graveyard. (For example, {2}{B} and {1}{B}{B} are different mana costs.)"
Emergence Zone,nan,Land,"{T}: Add {C}. {1}, {T}, Sacrifice Emergence Zone: You may cast spells this turn as though they had flash."
Emergency Powers,{5}{W}{U},Instant,"Each player shuffles their hand and graveyard into their library, then draws seven cards. Exile Emergency Powers. Addendum â€” If you cast this spell during your main phase, you may put a permanent card with converted mana cost 7 or less from your hand onto the battlefield."
"Emmara, Soul of the Accord",{G}{W},Legendary Creature â€” Elf Cleric,"Whenever Emmara, Soul of the Accord becomes tapped, create a 1/1 white Soldier creature token with lifelink."
Empyrean Eagle,{1}{W}{U},Creature â€” Bird Spirit,Flying Other creatures you control with flying get +1/+1.
"Emry, Lurker of the Loch",{2}{U},Legendary Creature â€” Merfolk Wizard,"This spell costs {1} less to cast for each artifact you control. When Emry, Lurker of the Loch enters the battlefield, put the top four cards of your library into your graveyard. {T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)"
Enchanted Carriage,{5},Artifact â€” Vehicle,"When Enchanted Carriage enters the battlefield, create two 1/1 white Mouse creature tokens. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
End-Raze Forerunners,{5}{G}{G}{G},Creature â€” Boar,"Vigilance, trample, haste When End-Raze Forerunners enters the battlefield, other creatures you control get +2/+2 and gain vigilance and trample until end of turn."
Enforcer Griffin,{4}{W},Creature â€” Griffin,Flying
Engulfing Eruption,{2}{R}{R},Sorcery,Engulfing Eruption deals 5 damage to target creature.
Enhanced Surveillance,{1}{U},Enchantment,You may look at an additional two cards each time you surveil. Exile Enhanced Surveillance: Shuffle your graveyard into your library.
Enraged Ceratok,{2}{G}{G},Creature â€” Rhino,Enraged Ceratok can't be blocked by creatures with power 2 or less.
Enter the God-Eternals,{2}{U}{U}{B},Sorcery,"Enter the God-Eternals deals 4 damage to target creature and you gain life equal to the damage dealt this way. Target player puts the top four cards of their library into their graveyard. Amass 4. (Put four +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
Epic Downfall,{1}{B},Sorcery,Exile target creature with converted mana cost 3 or greater.
Epicure of Blood,{4}{B},Creature â€” Vampire,"Whenever you gain life, each opponent loses 1 life."
Erratic Cyclops,{3}{R},Creature â€” Cyclops Shaman,"Trample Whenever you cast an instant or sorcery spell, Erratic Cyclops gets +X/+0 until end of turn, where X is that spell's converted mana cost."
Erratic Visionary,{1}{U},Creature â€” Human Wizard,"{1}{U}, {T}: Draw a card, then discard a card."
Erstwhile Trooper,{1}{B}{G},Creature â€” Zombie Soldier,Discard a creature card: Erstwhile Trooper gets +2/+2 and gains trample until end of turn. Activate this ability only once each turn.
Escape to the Wilds,{3}{R}{G},Sorcery,Exile the top five cards of your library. You may play cards exiled this way until the end of your next turn. You may play an additional land this turn.
Essence Capture,{U}{U},Instant,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.
Eternal Isolation,{1}{W},Sorcery,Put target creature with power 4 or greater on the bottom of its owner's library.
Eternal Skylord,{4}{U},Creature â€” Zombie Wizard,"When Eternal Skylord enters the battlefield, amass 2. (Put two +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.) Zombie tokens you control have flying."
Eternal Taskmaster,{1}{B},Creature â€” Zombie,"Eternal Taskmaster enters the battlefield tapped. Whenever Eternal Taskmaster attacks, you may pay {2}{B}. If you do, return target creature card from your graveyard to your hand."
Ethereal Absolution,{4}{W}{B},Enchantment,"Creatures you control get +1/+1. Creatures your opponents control get -1/-1. {2}{W}{B}: Exile target card from an opponent's graveyard. If it was a creature card, you create a 1/1 white and black Spirit creature token with flying."
Ethereal Elk,{3}{G}{G},Creature â€” Elk Spirit,"Trample When Ethereal Elk enters the battlefield, you may search your library and/or graveyard for a card named Vivien, Nature's Avenger, reveal it, and put it into your hand. If you search your library this way, shuffle it."
"Etrata, the Silencer",{2}{U}{B},Legendary Creature â€” Vampire Assassin,"Etrata, the Silencer can't be blocked. Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library."
Evolution Sage,{2}{G},Creature â€” Elf Druid,"Whenever a land enters the battlefield under your control, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Evolving Wilds,nan,Land,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library."
Expansion,{U/R}{U/R},Instant,Copy target instant or sorcery spell with converted mana cost 4 or less. You may choose new targets for the copy.
Experimental Frenzy,{3}{R},Enchantment,You may look at the top card of your library any time. You may play the top card of your library. You can't play cards from your hand. {3}{R}: Destroy Experimental Frenzy.
Explosion,{X}{U}{U}{R}{R},Instant,Explosion deals X damage to any target. Target player draws X cards.
Expose to Daylight,{2}{W},Instant,Destroy target artifact or enchantment. Scry 1.
Eye Collector,{B},Creature â€” Faerie,"Flying Whenever Eye Collector deals combat damage to a player, each player puts the top card of their library into their graveyard."
Eyes Everywhere,{2}{U},Enchantment,"At the beginning of your upkeep, scry 1. {5}{U}: Exchange control of Eyes Everywhere and target nonland permanent. Activate this ability only any time you could cast a sorcery."
Fabled Passage,nan,Land,"{T}, Sacrifice Fabled Passage: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library. Then if you control four or more lands, untap that land."
Fae of Wishes,{1}{U},Creature â€” Faerie Wizard,"Flying {1}{U}, Discard two cards: Return Fae of Wishes to its owner's hand."
Faeburrow Elder,{1}{G}{W},Creature â€” Treefolk Druid,"Vigilance Faeburrow Elder gets +1/+1 for each color among permanents you control. {T}: For each color among permanents you control, add one mana of that color."
Faerie Duelist,{1}{U},Creature â€” Faerie Rogue,"Flash Flying When Faerie Duelist enters the battlefield, target creature an opponent controls gets -2/-0 until end of turn."
Faerie Formation,{4}{U},Creature â€” Faerie,Flying {3}{U}: Create a 1/1 blue Faerie creature token with flying. Draw a card.
Faerie Guidemother,{W},Creature â€” Faerie,Flying
Faerie Miscreant,{U},Creature â€” Faerie Rogue,"Flying When Faerie Miscreant enters the battlefield, if you control another creature named Faerie Miscreant, draw a card."
Faerie Vandal,{1}{U},Creature â€” Faerie Rogue,"Flash Flying Whenever you draw your second card each turn, put a +1/+1 counter on Faerie Vandal."
Fathom Fleet Cutthroat,{3}{B},Creature â€” Human Pirate,"When Fathom Fleet Cutthroat enters the battlefield, destroy target creature an opponent controls that was dealt damage this turn."
"Fblthp, the Lost",{1}{U},Legendary Creature â€” Homunculus,"When Fblthp, the Lost enters the battlefield, draw a card. If it entered from your library or was cast from your library, draw two cards instead. When Fblthp becomes the target of a spell, shuffle Fblthp into its owner's library."
Fearless Halberdier,{2}{R},Creature â€” Human Warrior,nan
Feasting Troll King,{2}{G}{G}{G}{G},Creature â€” Troll Noble,"Vigilance, trample When Feasting Troll King enters the battlefield, if you cast it from your hand, create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."") Sacrifice three Foods: Return Feasting Troll King from your graveyard to the battlefield. Activate this ability only during your turn."
"Feather, the Redeemed",{R}{W}{W},Legendary Creature â€” Angel,"Flying Whenever you cast an instant or sorcery spell that targets a creature you control, exile that card instead of putting it into your graveyard as it resolves. If you do, return it to your hand at the beginning of the next end step."
Fell the Pheasant,{1}{G},Instant,"Fell the Pheasant deals 5 damage to target creature with flying. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Fencing Ace,{1}{W},Creature â€” Human Soldier,Double strike (This creature deals both first-strike and regular combat damage.)
Feral Abomination,{5}{B},Creature â€” Thrull,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Feral Invocation,{2}{G},Enchantment â€” Aura,Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature gets +2/+2.
Feral Maaka,{1}{R},Creature â€” Cat,nan
Ferocious Pup,{2}{G},Creature â€” Wolf,"When Ferocious Pup enters the battlefield, create a 2/2 green Wolf creature token."
Ferocity of the Wilds,{2}{R},Enchantment,Attacking non-Human creatures you control get +1/+0 and have trample.
Fertile Footsteps,{2}{G},Sorcery â€” Adventure,"Search your library for a basic land card, put it onto the battlefield, then shuffle your library. (Then exile this card. You may cast the creature later from exile.)"
Fervent Champion,{R},Creature â€” Human Knight,"First strike, haste Whenever Fervent Champion attacks, another target attacking Knight you control gets +1/+0 until end of turn. Equip abilities you activate that target Fervent Champion cost {3} less to activate."
Festive Funeral,{4}{B},Instant,"Target creature gets -X/-X until end of turn, where X is the number of cards in your graveyard."
Fierce Witchstalker,{2}{G}{G},Creature â€” Wolf,"Trample When Fierce Witchstalker enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Final Payment,{W}{B},Instant,"As an additional cost to cast this spell, pay 5 life or sacrifice a creature or enchantment. Destroy target creature."
Finale of Devastation,{X}{G}{G},Sorcery,"Search your library and/or graveyard for a creature card with converted mana cost X or less and put it onto the battlefield. If you search your library this way, shuffle it. If X is 10 or more, creatures you control get +X/+X and gain haste until end of turn."
Finale of Eternity,{X}{B}{B},Sorcery,"Destroy up to three target creatures with toughness X or less. If X is 10 or more, return all creature cards from your graveyard to the battlefield."
Finale of Glory,{X}{W}{W},Sorcery,"Create X 2/2 white Soldier creature tokens with vigilance. If X is 10 or more, also create X 4/4 white Angel creature tokens with flying and vigilance."
Finale of Promise,{X}{R}{R},Sorcery,"You may cast up to one target instant card and/or up to one target sorcery card from your graveyard each with converted mana cost X or less without paying their mana costs. If a card cast this way would be put into your graveyard this turn, exile it instead. If X is 10 or more, copy each of those spells twice. You may choose new targets for the copies."
Finale of Revelation,{X}{U}{U},Sorcery,"Draw X cards. If X is 10 or more, instead shuffle your graveyard into your library, draw X cards, untap up to five lands, and you have no maximum hand size for the rest of the game. Exile Finale of Revelation."
Finality,{4}{B}{G},Sorcery,You may put two +1/+1 counters on a creature you control. Then all creatures get -4/-4 until end of turn.
Find,{B/G}{B/G},Sorcery,Return up to two target creature cards from your graveyard to your hand.
Fire Elemental,{3}{R}{R},Creature â€” Elemental,nan
Fire Urchin,{1}{R},Creature â€” Elemental,"Trample Whenever you cast an instant or sorcery spell, Fire Urchin gets +1/+0 until end of turn."
Fireblade Artist,{B}{R},Creature â€” Human Shaman,"Haste At the beginning of your upkeep, you may sacrifice a creature. When you do, Fireblade Artist deals 2 damage to target opponent or planeswalker."
Fireborn Knight,{R/W}{R/W}{R/W}{R/W},Creature â€” Human Knight,Double strike {R/W}{R/W}{R/W}{R/W}: Fireborn Knight gets +1/+1 until end of turn.
Firemind Vessel,{4},Artifact,Firemind Vessel enters the battlefield tapped. {T}: Add two mana of different colors.
Firemind's Research,{U}{R},Enchantment,"Whenever you cast an instant or sorcery spell, put a charge counter on Firemind's Research. {1}{U}, Remove two charge counters from Firemind's Research: Draw a card. {1}{R}, Remove five charge counters from Firemind's Research: It deals 5 damage to any target."
Fires of Invention,{3}{R},Enchantment,You can cast spells only during your turn and you can cast no more than two spells each turn. You may cast spells with converted mana cost less than or equal to the number of lands you control without paying their mana costs.
Flame Sweep,{2}{R},Instant,Flame Sweep deals 2 damage to each creature except for creatures you control with flying.
Flames of the Raze-Boar,{5}{R},Instant,Flames of the Raze-Boar deals 4 damage to target creature an opponent controls. Then Flames of the Raze-Boar deals 2 damage to each other creature that player controls if you control a creature with power 4 or greater.
Flaxen Intruder,{G},Creature â€” Human Berserker,"Whenever Flaxen Intruder deals combat damage to a player, you may sacrifice it. When you do, destroy target artifact or enchantment."
Flight of Equenauts,{7}{W},Creature â€” Human Knight,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying
Fling,{1}{R},Instant,"As an additional cost to cast this spell, sacrifice a creature. Fling deals damage equal to the sacrificed creature's power to any target."
Flood of Tears,{4}{U}{U},Sorcery,"Return all nonland permanents to their owners' hands. If you return four or more nontoken permanents you control this way, you may put a permanent card from your hand onto the battlefield."
Flourish,{4}{G}{W},Sorcery,Creatures you control get +2/+2 until end of turn.
Flower,{G/W},Sorcery,"Search your library for a basic Forest or Plains card, reveal it, put it into your hand, then shuffle your library."
Flutterfox,{1}{W},Creature â€” Fox,"As long as you control an artifact or enchantment, Flutterfox has flying."
Flux Channeler,{2}{U},Creature â€” Human Wizard,"Whenever you cast a noncreature spell, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Folio of Fancies,{1}{U},Artifact,"Players have no maximum hand size. {X}{X}, {T}: Each player draws X cards. {2}{U}, {T}: Each opponent puts a number of cards equal to the number of cards in their hand from the top of their library into their graveyard."
Font of Agonies,{B},Enchantment,"Whenever you pay life, put that many blood counters on Font of Agonies. {1}{B}, Remove four blood counters from Font of Agonies: Destroy target creature."
Footlight Fiend,{B/R},Creature â€” Devil,"When Footlight Fiend dies, it deals 1 damage to any target."
Forbidding Spirit,{1}{W}{W},Creature â€” Spirit Cleric,"When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or a planeswalker you control unless their controller pays {2} for each of those creatures."
Forced Landing,{1}{G},Instant,Put target creature with flying on the bottom of its owner's library.
Foreboding Fruit,{2}{B},Sorcery,"Target player draws two cards and loses 2 life. Adamant â€” If at least three black mana was spent to cast this spell, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Forest,nan,Basic Land â€” Forest,({T}: Add {G}.)
Forever Young,{1}{B},Sorcery,Put any number of target creature cards from your graveyard on top of your library. Draw a card.
Fortifying Provisions,{2}{W},Enchantment,"Creatures you control get +0/+1. When Fortifying Provisions enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
Fortress Crab,{3}{U},Creature â€” Crab,nan
Foulmire Knight,{B},Creature â€” Zombie Knight,Deathtouch
Frenzied Arynx,{2}{R}{G},Creature â€” Cat Beast,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.) Trample {4}{R}{G}: Frenzied Arynx gets +3/+0 until end of turn.
Fresh-Faced Recruit,{1}{R/W},Creature â€” Human Soldier,"As long as it's your turn, Fresh-Faced Recruit has first strike."
Frilled Mystic,{G}{G}{U}{U},Creature â€” Elf Lizard Wizard,"Flash When Frilled Mystic enters the battlefield, you may counter target spell."
Frilled Sandwalla,{G},Creature â€” Lizard,{1}{G}: Frilled Sandwalla gets +2/+2 until end of turn. Activate this ability only once each turn.
Frilled Sea Serpent,{4}{U}{U},Creature â€” Serpent,{5}{U}{U}: Frilled Sea Serpent can't be blocked this turn.
Frogify,{1}{U},Enchantment â€” Aura,Enchant creature Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1. (It loses all other card types and creature types.)
Frost Lynx,{2}{U},Creature â€” Elemental Cat,"When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
Fry,{1}{R},Instant,This spell can't be countered. Fry deals 5 damage to target creature or planeswalker that's white or blue.
"Gadwick, the Wizened",{X}{U}{U}{U},Legendary Creature â€” Human Wizard,"When Gadwick, the Wizened enters the battlefield, draw X cards. Whenever you cast a blue spell, tap target nonland permanent an opponent controls."
Galloping Lizrog,{3}{G}{U},Creature â€” Frog Lizard,"Trample When Galloping Lizrog enters the battlefield, you may remove any number of +1/+1 counters from among creatures you control. If you do, put twice that many +1/+1 counters on Galloping Lizrog."
Garenbrig Carver,{3}{G},Creature â€” Human Warrior,nan
Garenbrig Paladin,{4}{G},Creature â€” Giant Knight,"Adamant â€” If at least three green mana was spent to cast this spell, Garenbrig Paladin enters the battlefield with a +1/+1 counter on it. Garenbrig Paladin can't be blocked by creatures with power 2 or less."
Garenbrig Squire,{1}{G},Creature â€” Human Soldier,"Whenever you cast a creature spell that has an Adventure, Garenbrig Squire gets +1/+1 until end of turn. (It doesn't need to have gone on the adventure first.)"
"Gargos, Vicious Watcher",{3}{G}{G}{G},Legendary Creature â€” Hydra,"Vigilance Hydra spells you cast cost {4} less to cast. Whenever a creature you control becomes the target of a spell, Gargos, Vicious Watcher fights up to one target creature you don't control."
Garrison Griffin,{2}{W},Creature â€” Griffin,"Flying Whenever Garrison Griffin attacks, target Knight you control gains flying until end of turn."
Garrison Sergeant,{3}{R}{W},Creature â€” Viashino Soldier,Garrison Sergeant has double strike as long as you control a Gate.
"Garruk, Cursed Huntsman",{4}{B}{G},Legendary Planeswalker â€” Garruk,"[0]: Create two 2/2 black and green Wolf creature tokens with ""When this creature dies, put a loyalty counter on each Garruk you control."" [âˆ’3]: Destroy target creature. Draw a card. [âˆ’6]: You get an emblem with ""Creatures you control get +3/+3 and have trample."""
Gate Colossus,{8},Artifact Creature â€” Construct,"This spell costs {1} less to cast for each Gate you control. Gate Colossus can't be blocked by creatures with power 2 or less. Whenever a Gate enters the battlefield under your control, you may put Gate Colossus from your graveyard on top of your library."
Gatebreaker Ram,{2}{G},Creature â€” Sheep,"Gatebreaker Ram gets +1/+1 for each Gate you control. As long as you control two or more Gates, Gatebreaker Ram has vigilance and trample."
Gatekeeper Gargoyle,{6},Artifact Creature â€” Gargoyle,Flying Gatekeeper Gargoyle enters the battlefield with a +1/+1 counter on it for each Gate you control.
Gates Ablaze,{2}{R},Sorcery,"Gates Ablaze deals X damage to each creature, where X is the number of Gates you control."
Gateway Plaza,nan,Land â€” Gate,"Gateway Plaza enters the battlefield tapped. When Gateway Plaza enters the battlefield, sacrifice it unless you pay {1}. {T}: Add one mana of any color."
